Ciudad,Latitud,Longitud,Date,Forecast,Temperatura Promedio (°C),Temperatura Maxima (°C),Temperatura Minima (°C),Precipitación (mm),Nieve (cm),Humedad(%),Visibilidad (km),Velocidad Viento(m/s),Amanecer (s),Atardecer (s),Forecast Time,id,comments,like
"Villa La Angostura, AR",-40.78,-71.67,2024-04-08,Light rain shower,9.4,12.0,3.3,19.77,0.0,86,8.8,23.0,08:10 AM,07:26 PM,2024-04-18 18:11,3341977192899416975_9660099077,4,9
"Villa La Angostura, AR",-40.78,-71.67,2024-04-02,Moderate or heavy sleet,5.0,7.3,2.4,44.04,0.0,85,8.0,30.2,08:04 AM,07:36 PM,2024-04-18 18:13,3337657802514304205_1637779467,1,23
